team,confederation,fifa_rank,ml_strength,rank_prior,strength,win_rate_proxy
Argentina,CONMEBOL,1,4.929894441344893,4.876637422560961,4.905928782892124,1.0
Spain,UEFA,2,4.4201793259699915,4.511993690406236,4.4614957899663015,0.8453061476648442
France,UEFA,3,4.323256562497869,4.253274845121922,4.291764789678694,0.7862278552942961
Italy,UEFA,10,4.078377050926502,3.3435197897321483,3.747691283389043,0.5968521159114886
England,UEFA,4,3.431102997067308,4.052596918142896,3.7107752615513228,0.5840027511661515
Brazil,CONMEBOL,5,3.4579309832539127,3.8886311129671967,3.6517460416248904,0.5634564425524635
Germany,UEFA,9,3.792779464567022,3.4292343407038577,3.6291841588285987,0.5556033249368791
Portugal,UEFA,6,2.8501553491639005,3.75,3.255085442040145,0.4253907336693736
Netherlands,UEFA,7,2.826930275874092,3.629912267682884,3.1882721721880483,0.40213502973864795
Belgium,UEFA,8,2.860726533787846,3.5239873808124713,3.1591939149489274,0.3920137567838676
Croatia,UEFA,11,2.755460653257079,3.265268535528158,2.984874200279065,0.33133826997376264
Mexico,CONCACAF,19,2.993374093343199,2.805871763264819,2.9089980448079285,0.3049280462121564
Morocco,CAF,12,2.623907931160966,3.1932843596417784,2.880127323977332,0.29487901048333687
Uruguay,CONMEBOL,14,2.723790188722604,3.0645906085491323,2.8771503776445417,0.29384282436811926
United States,CONCACAF,16,2.753040309992774,2.9520286280918917,2.842585053137377,0.2818116671625593
Colombia,CONMEBOL,13,2.518094804241334,3.1266374225609614,2.791938982485166,0.2641832824576988
Switzerland,UEFA,15,2.5233265707136097,3.006549690243845,2.7407769745022157,0.24637531537590843
Serbia,UEFA,31,2.8149815984524986,2.383187112804806,2.620674079911037,0.20457108450951658
Canada,CONCACAF,29,2.74765153500149,2.4412280311100933,2.609760958250362,0.2007725527678062
Denmark,UEFA,18,2.392722953703966,2.8520009564455995,2.5993980549377014,0.1971655356013742
Poland,UEFA,25,2.6012442068955837,2.56992178220274,2.587149115783804,0.19290204568299282
Austria,UEFA,24,2.5368897127186774,2.6051938362857934,2.56762656832388,0.1861068299315925
Ecuador,CONMEBOL,22,2.4399799256335353,2.6801807598671203,2.5480703010386483,0.17929987731600797
Senegal,CAF,20,2.337118540823586,2.761993690406235,2.5283123581357785,0.17242272744074405
Sweden,UEFA,27,2.499585189905657,2.5032748451219224,2.501245534752977,0.16300157454208947
Tunisia,CAF,34,2.5068279192756435,2.3025969181428967,2.4149239687659074,0.13295561532057892
Turkey,UEFA,30,2.384607373806255,2.411739418818261,2.3968167940616576,0.12665304855687876
Australia,AFC,26,2.2703349311522443,2.535981071218707,2.3898756941821526,0.12423705897713365
Japan,AFC,17,1.9669873855630176,2.9006248033734323,2.3871242235777044,0.12327935422936737
Norway,UEFA,28,2.316461624310447,2.47171644572741,2.3863262939480805,0.12300161875458572
Algeria,CAF,33,2.422678927446757,2.3286660506528527,2.3803731328895004,0.12092950117469871
South Korea,AFC,23,2.1582199939667923,2.641905958089119,2.3758786778218397,0.11936511558760138
Ukraine,UEFA,48,2.6778524140492337,2.0,2.3728188277270785,0.11830007314867133
Iran,AFC,21,2.0582027721240577,2.7201572122931093,2.356082270200131,0.11247457729241614
Ivory Coast,CAF,37,2.309359802677257,2.2286383790065605,2.273035162025444,0.08356835904731626
Egypt,CAF,32,2.1856076315953628,2.355513480138384,2.2620652634397223,0.07975006495357762
Paraguay,CONMEBOL,44,2.411914822492503,2.0765842989553684,2.2610160869007925,0.07938487793287909
Panama,CONCACAF,46,2.4107964998958833,2.037477176804077,2.2428028045045707,0.07304537825039292
Scotland,UEFA,47,2.3847241381206206,2.01854338065008,2.219942797258877,0.0650884924171305
Cameroon,CAF,36,2.1606626909581337,2.2526217229530623,2.202044255355852,0.058858544500947504
Jordan,AFC,41,2.249349558439305,2.1386311129671967,2.1995262579768564,0.05798210481054034
Ghana,CAF,38,2.146021400134371,2.205278050048014,2.1726868925955105,0.04864012324940952
Uzbekistan,AFC,40,2.0540607793151593,2.1603025736375816,2.1018695867602495,0.023990733969073464
Saudi Arabia,AFC,39,2.020576725156773,2.18250918582578,2.0934463324578263,0.02105885069762157
Nigeria,CAF,35,1.932876314002295,2.2772622259343938,2.0878499743717396,0.019110925576931333
Iraq,AFC,43,2.0471202825751926,2.0967946348540707,2.069473741100688,0.012714707561265443
Qatar,AFC,42,1.9700454508573682,2.1174696166422864,2.0363863254605814,0.0011979662962063199
New Zealand,OFC,45,2.013411645694548,2.056818182428082,2.0329445872246383,0.0
